imp_date,qimei,play_vv_begin,video_play_time,top_vv,top_time
20210606,8cd8d13974bad876cc5d5cc3100016314c11,7558,138735.536,1,1
20210606,3cac715b3b3e038f,5997,138611.922,1,1
20210606,39ce7b5785af2229,6434,138609.394,1,1
20210606,b86cf5c3c5b184f1d3651f5710001a014a0f,5121,138541.042,1,1
20210606,e5303302ada1bdc6,6624,138526.129,1,1
20210606,a405dcf64b3e82e1,6693,138489.094,1,1
20210606,4bcfd2a16240a369fd9dea1a10001ac14c0a,5683,138471.7,1,1
20210606,d971bc99f732c486,6120,138420.999,1,1
20210606,6cef913c24200eeecde15017100018c14c13,6239,138409.196,1,1
20210606,45a3fe0ba27f284bdea96698100014814802,6050,138303.875,1,1
20210606,481e8318acd73142a6138642100012a1520f,5703,138233.552,1,1
20210606,4ec3386f0f32e6ea,7080,138208.71,1,1
20210606,3ea8b1f0878fe678e7ffe714100013314a02,5756,138172.488,1,1
20210606,2dc09c2d94fac934,5632,138021.006,1,1
20210606,f2422a2abf600dbc,6867,138012.463,1,1
20210606,15a0c7f8cd656a20,6176,137986.539,1,1
20210606,3367153601f81cc4,6057,137948.691,1,1
20210606,60dfa50e0b3ad9344a861698100016e14c12,5783,137862.692,1,1
20210606,802db0f2ed68138f,5488,137819.39,1,1
20210606,5d3289aaf0bb8e66cfe911e010001a914a1e,7157,137817.476,1,1
20210606,8.66444E+14,4697,137769.042,1,1
20210606,cc15ff889f60b464,5309,137767.576,1,1
20210606,ab850a5b9773039f,7468,137751.574,1,1
20210606,5930f3660cdeea7e380bd058100018b14c0a,5015,137641.492,1,1
20210606,7f7e091301204a0a,4511,137570.3,1,1
20210606,da1bbee2bacc0f81a8d69dbd100016f14c12,6302,137295.712,1,1
20210606,dff1b683a70ecaab,6139,137205.428,1,1
20210606,785039fcdc9c111d,4726,137180.934,1,1
20210606,876360e06cf5773f,5958,137152.827,1,1
20210606,a70882c877980ebb,7264,137134.455,1,1
20210606,bed3fc4c6cdb583b,5461,137074.146,1,1
20210606,8745886ce2f8b53c,6139,137035.317,1,1
20210606,8.62347E+14,5590,136995.192,1,1
20210606,c68a7ae4ee561555,5361,136956.516,1,1
20210606,8.69613E+14,5167,136842.71,1,1
20210606,989bb865bb4da550,4927,136824.212,1,1
20210606,f8a3158c2e2e15c4,4666,136784.914,1,1
20210606,c395af417e83de5cb13e4856100013115218,5991,136515.536,1,1
20210606,f27b20bfdf854126,6747,136455.635,1,1
20210606,76d81f695fad138c,6394,136176.706,1,1
20210606,a00000a5ea4a9e,5945,136111.497,1,1
20210606,4f25fdc6c11914e42125076010001ad14917,5446,136110.578,1,1
20210606,006288d2e7433583,5251,136012.349,1,1
20210606,3f0665a8a3f66b2f,5357,135991.459,1,1
20210606,c853144f1f6c3530144cbd66100011714c12,5049,135905.713,1,1
20210606,885303a90e3e6df1,5484,135840.983,1,1
20210606,3d658fc8d2fa5623b289a174100013714a04,5267,135792.466,1,1
20210606,235036b0eb48bced,7282,135750.192,1,1
20210606,8.68123E+14,6597,135418.638,1,1
20210606,1d6ef033e2615203,5566,135356.748,1,1
20210606,2f39cbe7435e7f9a,5204,135343.952,1,1
20210606,c3d7671f3351c424931dc6df10001d314b01,5302,135201.675,1,1
20210606,258f9b3ba6060cfa86b8ca88100016d15202,5139,135187.036,1,1
20210606,b6daf564e9f0d768,6108,135170.164,1,1
20210606,36ee8d31148bc841fa0696b810001de14b04,4965,135142.927,1,1
20210606,d6f9f8891571fa48,4940,135092.161,1,1
20210606,bd4f8155a6ebafd9,6616,134982.515,1,1
20210606,8.69402E+14,5566,134862.516,1,1
20210606,1559b24d9241ed591a469ada100018f1471d,6711,134844.362,1,1
20210606,b04d8bb6ccae171e,4847,134632.552,1,1
20210606,31bea1b65f3a61fe,6361,134611.643,1,1
20210606,c130020c4a1f4531,6081,134532.397,1,1
20210606,d5e326aeec424be6,4972,134480.909,1,1
20210606,eff4ec25b84e1551,6364,134425.837,1,1
20210606,66aa5dda1378e8a6062f9a1d10001ec1511c,5812,134354.635,1,1
20210606,9cd51ac6b9ac71de91b7eaf510001a41511d,5996,134353.307,1,1
20210606,b0aa63042c283b0e,5908,134233.823,1,1
20210606,eb0045926b32483e38c0472e100013415219,6507,134224.896,1,1
20210606,4de3a0beafe8e59c87d435c1100018414b02,5893,134172.102,1,1
20210606,1bbda1a97005382effebaa9e100011e14c03,6827,134144.998,1,1
20210606,bd33554f-db92-40d2-893f-f41e5a20eb83,81,134140.047,1,1
20210606,5c61372fd0deb792ca022c3b10001ca1511c,6350,134030.537,1,1
20210606,99f384fafad4d506,6701,133972.134,1,1
20210606,c91d5e6168d651e6,5158,133949.705,1,1
20210606,e72bcab52ca90de3,6400,133936.11,1,1
20210606,e507dbbc118e9eed7b9742d0100017914c12,7032,133932.122,1,1
20210606,8e1cfed47fc81300,5185,133898.513,1,1
20210606,4a8136a6ef2fe921,6685,133848.856,1,1
20210606,0a6061a2b479823496b586f210001c014902,5199,133680.75,1,1
20210606,5e81e32fecc3b940,5748,133492.271,1,1
20210606,3c00f4fadd36bb68,6407,133419.608,1,1
20210606,6e41e25f07a59331,5767,133407.585,1,1
20210606,6991c9a91f1645c1,4674,133292.527,1,1
20210606,c32e61b1d5fa01e82dbc1c9610001d214c0a,7642,133217.876,1,1
20210606,1f99bf4c5caad61f,5485,133175.369,1,1
20210606,1ef79484fabe60f18002e2b710001fb14a1f,5642,133159.437,1,1
20210606,8cafbf657f4acedbd6bf032f100014714917,4023,133116.509,1,1
20210606,58319a678f6c11f9,6423,133110.505,1,1
20210606,ab4cdcadeacecf82,4518,133072.417,1,1
20210606,a00000a5752994,5244,133055.714,1,1
20210606,e3bb614fb6f48e0a3975780c10001b714c0a,5027,133020.161,1,1
20210606,2525ed0c64f1cbb9ab03d344100018115219,4645,132785.874,1,1
20210606,edb84ad2332db9623437aa0810001c514c10,5350,132779.438,1,1
20210606,4af1f7165946ede0,5393,132779.11,1,1
20210606,57531ee11bbce6a8904f40e210001e914c08,6403,132727.334,1,1
20210606,62c8a739dfbcf9e72ae6d0b110001b114b06,5367,132672.703,1,1
20210606,8.69166E+14,5273,132607.684,1,1
20210606,653b999d034f853a,6372,132418.754,1,1
20210606,8.64343E+14,5324,132143.2,1,1
20210606,74ec4cd57b4224c2,5024,132086.071,1,1
20210606,8.67911E+14,5778,132069.649,1,1
20210606,a00000a5ebbd0f,7489,132058.246,1,1
20210606,aa7ced9fbc1abc42,4846,131981.133,1,1
20210606,515e093c9af09436,4952,131856.663,1,1
20210606,0bf7e519cd8a3d85,5441,131823.655,1,1
20210606,f3cfa35d8960bf11,5277,131795.526,1,1
20210606,57adaf2dee75a04bd4b1928c100015014803,6435,131756.792,1,1
20210606,a900f06505c7b1c157217c2910001c114c0b,5370,131639.355,1,1
20210606,6916f1b1ac33fd67,5206,131621.69,1,1
20210606,93a7b5b38396ff3e,5083,131486.721,1,1
20210606,c0615941ac4197da2347136610001991510b,4933,131369.347,1,1
20210606,be8679038b99c9ce,6586,131319.307,1,1
20210606,4de736137da8f24f,6010,131161.29,1,1
20210606,e1935a4ade233474b2a52dd9100013f15303,4798,131154.857,1,1
20210606,5.03054E+14,6219,131093.485,1,1
20210606,ea30979fc40b93fd,5928,130953.586,1,1
20210606,b44ca8aa6721134f,5831,130937.572,1,1
20210606,23f92d74ac4519c44afda746100019914c11,5790,130616.679,1,1
20210606,8.61822E+14,7023,130597.528,1,1
20210606,8915cb66e2942c291d0e9d70100017c14804,6318,130514.007,1,1
20210606,bf59b59b4036211e,6261,130477.993,1,1
20210606,f182b994f23c44fd66bc8f4a100011914c13,6377,130448.147,1,1
20210606,db714c94acddbf57,6042,130326.356,1,1
20210606,0cd9d9780ab5a0cfce4959d7100017114c09,5297,130196.305,1,1
20210606,ba46cc5f3741e002,5996,130152.369,1,1
20210606,27c5dc109f594458,6256,130116.119,1,1
20210606,01575c9b13913d5b759a5a9010001ca15202,5552,130024.349,1,1
20210606,f68b536f524904d528bfae3410001121471e,5698,129968.609,1,1
20210606,09173936-02e8-4eca-b073-9247d50e6d3f,234,129868.795,1,1
20210606,ca6bc461339c4b3c11bb1eef10001c21491e,5635,129754.523,1,1
20210606,8d8364b543560d45,6631,129624.21,1,1
20210606,c60a016bf5838ce43088751a100018614c0a,5549,129620.638,1,1
20210606,ce6a13a7ade6e7c6aaae10dc10001c71471d,6287,129563.434,1,1
20210606,5fb9b635-be46-48ff-9770-cca9741bfbda,47,129532.696,1,1
20210606,b788b3057a100f4c9fe4eeba100018114c12,6669,129458.419,1,1
20210606,c5e653ae4424e320466f948c10001d914a0e,6790,129296.619,1,1
20210606,9f7a6a6055e45e7caca56bf810001fd14c0d,4565,129118.796,1,1
20210606,06f61267e502d0e6a379cd1c10001f514c1e,5869,129052.311,1,1
20210606,b84494437383d244e5352b8910001d514a1f,5398,129044.9,1,1
20210606,1e27185e550ab05af7f87986100016b15201,5467,129008.62,1,1
20210606,f9d5a03fe0aa474b86bf1f4a10001b114c1d,5758,128989.198,1,1
20210606,2319c2df3ea450f9,5107,128827.737,1,1
20210606,8cf08457fd129102346e39b2100016e14c09,6234,128780.002,1,1
20210606,8.64815E+14,6794,128725.225,1,1
20210606,7569af962ba1df2d4a636155100016a15202,7057,128570.519,1,1
20210606,1bcefb6ba6eaca239b53927810001bc14c0a,7146,128510.278,1,1
20210606,6075dc357c07f171,6241,128502.184,1,1
20210606,595d832538f5c52038f3b990100017114a04,5716,128425.052,1,1
20210606,8.65063E+14,4574,128401.873,1,1
20210606,8.62828E+14,5672,128287.642,1,1
20210606,462cb0c8-dc88-4cb7-828d-ff351eb7f019,59,127997.512,1,1
20210606,ccf35d49e6e8b292,5556,127916.251,1,1
20210606,530815c8cbd94db6,5880,127886.405,1,1
20210606,8389c7a85ebf76fa0235d0a9100016514c16,6083,127840.94,1,1
20210606,255f1886f470a896801b844510001c714c0c,5235,127804.972,1,1
20210606,1a8dc8b8f342dc22,7718,127697.275,1,1
20210606,0272231b996a714e1241c7fe100017914c03,5994,127682.055,1,1
20210606,0648ed6ad91abaf6daecef5e10001811491c,3794,127614.399,1,1
20210606,cf952e224854b0206a79951f100018e14b05,6404,127601.952,1,1
20210606,2237fdd859272e5e,5877,127570.367,1,1
20210606,7bd481c7b4d0c182a47d190f10001c61511b,5620,127535.427,1,1
20210606,6f0aff9541f52d9c,4707,127509.948,1,1
20210606,cbf3e66e3fb735ff83f27d77100011e14c09,6519,127437.476,1,1
20210606,d5e3126cc7a975b354a0c01a10001281511c,5102,127383.071,1,1
20210606,60d47fd23d5f1b6b,6629,127340.008,1,1
20210606,8.67679E+14,5672,127249.78,1,1
20210606,8.68583E+14,4289,127225.936,1,1
20210606,9bc4f212b5b6a792a75c3f0e100010314c09,5713,127220.112,1,1
20210606,b1f0a0ee40c6ad8f,4273,127193.12,1,1
20210606,8.69147E+14,5306,127184.548,1,1
20210606,b82ef1128e8258e5e6afdd81100012414a0a,5827,127033.394,1,1
